Run	bases	avgLength	InsertSize	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	Platform	BioProject	BioSample	ScientificName	CenterName	Consent
ERR4291956	56602612872	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA7015108	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890047	48156850513	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528895	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890046	58712820811	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528894	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890045	13231349940	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528893	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890044	67323348275	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528892	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890043	75938892996	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528891	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890042	54711103596	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528890	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890041	57384258482	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528889	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890040	51237434118	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528888	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890039	65815790433	296	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528887	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3890038	78385693257	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA6528886	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3700346	165584492040	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272127	Bos taurus	ETH ZURICH	public
ERR3700345	192500127582	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272126	Bos taurus	ETH ZURICH	public
ERR3700344	72901357648	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272125	Bos taurus	ETH ZURICH	public
ERR3700343	58195303058	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272124	Bos taurus	ETH ZURICH	public
ERR3700342	51734534914	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272123	Bos taurus	ETH ZURICH	public
ERR3700341	56008287612	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272122	Bos taurus	ETH ZURICH	public
ERR3700340	54383574120	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272121	Bos taurus	ETH ZURICH	public
ERR3700339	56756290574	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272120	Bos taurus	ETH ZURICH	public
ERR3700338	60578964294	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272119	Bos taurus	ETH ZURICH	public
ERR3700337	56807888180	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272118	Bos taurus	ETH ZURICH	public
ERR3700336	39488813018	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272117	Bos taurus	ETH ZURICH	public
ERR3700334	35258949900	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272115	Bos taurus	ETH ZURICH	public
ERR3700333	32421057000	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272114	Bos taurus	ETH ZURICH	public
ERR3700332	45081348000	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272113	Bos taurus	ETH ZURICH	public
ERR3700331	39736510500	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272112	Bos taurus	ETH ZURICH	public
ERR3700329	32873089200	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272110	Bos taurus	ETH ZURICH	public
ERR3700328	33193853700	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272109	Bos taurus	ETH ZURICH	public
ERR3700326	42850523100	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272107	Bos taurus	ETH ZURICH	public
ERR3700322	37227858300	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272103	Bos taurus	ETH ZURICH	public
ERR3700321	30241580700	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272102	Bos taurus	ETH ZURICH	public
ERR3700319	35721520800	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272100	Bos taurus	ETH ZURICH	public
ERR3700313	34477327800	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272094	Bos taurus	ETH ZURICH	public
ERR3700312	47929816800	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272093	Bos taurus	ETH ZURICH	public
ERR3700311	40000574700	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272092	Bos taurus	ETH ZURICH	public
ERR3700310	40423782000	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272091	Bos taurus	ETH ZURICH	public
ERR3700309	45935421000	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272090	Bos taurus	ETH ZURICH	public
ERR3700308	34517207100	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272089	Bos taurus	ETH ZURICH	public
ERR3700307	46311282000	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272088	Bos taurus	ETH ZURICH	public
ERR3700306	50837983200	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272087	Bos taurus	ETH ZURICH	public
ERR3700305	55059540300	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272086	Bos taurus	ETH ZURICH	public
ERR3700304	32652574200	300	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272085	Bos taurus	ETH ZURICH	public
ERR3700303	37078794430	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272084	Bos taurus	ETH ZURICH	public
ERR3700302	100405232716	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272083	Bos taurus	ETH ZURICH	public
ERR3700301	70884286360	302	400	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA6272082	Bos taurus	ETH ZURICH	public
ERR3374915	67939898818	298	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5714975	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3374914	80311008879	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5714974	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3374912	97647218156	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5714972	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3278206	66465232967	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5564728	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3278205	62440156259	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5564727	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR3278204	63976247032	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5564726	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985472	107276580916	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159886	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985435	82235684656	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159850	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985434	78002156737	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159849	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985433	67164832369	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159848	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985428	68438572254	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159843	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985423	100318810593	300	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159837	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985382	34545081490	197	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159796	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985381	38017011185	197	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159795	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985380	34481999589	197	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159794	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985376	31760289033	198	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159790	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985375	31258782195	198	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159789	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985362	31424399148	194	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159776	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985354	30643656694	189	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159768	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2985353	31248065315	196	300	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB18113	SAMEA5159767	Bos taurus	INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER	public
ERR2865470	11017851044	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059759	Bos taurus	ETH ZURICH	public
ERR2865469	14103061696	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059758	Bos taurus	ETH ZURICH	public
ERR2865468	15904270596	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059757	Bos taurus	ETH ZURICH	public
ERR2865467	18453060110	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059756	Bos taurus	ETH ZURICH	public
ERR2865466	20774973958	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059755	Bos taurus	ETH ZURICH	public
ERR2865465	9647126802	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059754	Bos taurus	ETH ZURICH	public
ERR2865464	11577070644	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059753	Bos taurus	ETH ZURICH	public
ERR2865463	10771103116	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059752	Bos taurus	ETH ZURICH	public
ERR2865462	15476988436	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059751	Bos taurus	ETH ZURICH	public
ERR2865461	10812231468	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059750	Bos taurus	ETH ZURICH	public
ERR2865460	14393489352	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059749	Bos taurus	ETH ZURICH	public
ERR2865459	14071716946	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059748	Bos taurus	ETH ZURICH	public
ERR2865458	12701275384	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059747	Bos taurus	ETH ZURICH	public
ERR2865457	11896754380	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059746	Bos taurus	ETH ZURICH	public
ERR2865456	11950055430	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059745	Bos taurus	ETH ZURICH	public
ERR2865455	10895488516	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059744	Bos taurus	ETH ZURICH	public
ERR2865454	61741226636	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059743	Bos taurus	ETH ZURICH	public
ERR2865453	10348200450	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059742	Bos taurus	ETH ZURICH	public
ERR2865452	12635466450	301	450	WGS	RANDOM	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA5059741	Bos taurus	ETH ZURICH	public
ERR2743240	39462354566	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827674	Bos taurus	ETH ZURICH	public
ERR2743239	32558153714	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827673	Bos taurus	ETH ZURICH	public
ERR2743238	33063156808	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827672	Bos taurus	ETH ZURICH	public
ERR2743237	35667830348	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827671	Bos taurus	ETH ZURICH	public
ERR2743236	38304499258	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827670	Bos taurus	ETH ZURICH	public
ERR2743235	40255984670	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827669	Bos taurus	ETH ZURICH	public
ERR2743234	34139340864	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827668	Bos taurus	ETH ZURICH	public
ERR2743233	34543318476	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827667	Bos taurus	ETH ZURICH	public
ERR2743232	35162339184	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827666	Bos taurus	ETH ZURICH	public
ERR2743231	40435004404	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827665	Bos taurus	ETH ZURICH	public
ERR2743230	36212598842	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827664	Bos taurus	ETH ZURICH	public
ERR2743229	35884919806	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827663	Bos taurus	ETH ZURICH	public
ERR2743228	55017864256	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827662	Bos taurus	ETH ZURICH	public
ERR2743227	31151274474	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827661	Bos taurus	ETH ZURICH	public
ERR2743226	32280248188	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827660	Bos taurus	ETH ZURICH	public
ERR2743225	30748150876	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827659	Bos taurus	ETH ZURICH	public
ERR2743224	31314600076	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827658	Bos taurus	ETH ZURICH	public
ERR2743223	27146854482	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827657	Bos taurus	ETH ZURICH	public
ERR2743222	38002251470	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827656	Bos taurus	ETH ZURICH	public
ERR2743221	36695951704	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827655	Bos taurus	ETH ZURICH	public
ERR2743220	34568026606	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827654	Bos taurus	ETH ZURICH	public
ERR2743219	31130753098	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827653	Bos taurus	ETH ZURICH	public
ERR2743218	33982331734	251	500	WGS	size fractionation	GENOMIC	PAIRED	ILLUMINA	PRJEB28191	SAMEA4827652	Bos taurus	ETH ZURICH	public
